State,Metropolitan Area,Masjid Name,Masjid Location,Phone Number
Alberta,Calgary Metro,Calgary Southwest Masjid,"5615 14th Avenue SW, Calgary, AB",(403) 242-1615
Alberta,Calgary Metro,Islamic Information Society of Calgary,"207 4th Street NE, Calgary, AB",(403) 261-7601
Alberta,Calgary Metro,Downtown Masjid,"131 7th Avenue SW, Calgary, AB",
Alberta,Calgary Metro,South Musallah,"539 Queensland Drive SE, Calgary, AB",
Alberta,Calgary Metro,IISC Downtown Calgary Mosque,"1009 7th Ave SW, Calgary, AB",(403) 453-1330
Alberta,Calgary Metro,Akram Jomaa,"2612 37th Avenue NE, Calgary, AB",(403) 219-0991
Alberta,Calgary Metro,Lady Khadijah Musallah,"1440 17th Avenue SW, Calgary, AB",(403) 397-1275
Alberta,Calgary Metro,Musallah Al Huda,"104 5701 17th Avenue SE, Calgary, AB",(403) 667-4034
Alberta,Calgary Metro,Taravista Mussallah,"150 Taravista Drive NE, Calgary, AB",(403) 617-5246
Alberta,Calgary Metro,Lethbridge Islamic Centre,"501 13 Street South, Lethbridge, AB",(403) 328-8499
Alberta,Calgary Metro,Downtown Mussalla (Main),"225 8th Avenue SE, Calgary, AB",
Alberta,Calgary Metro,Brooks Masjid,"City Centre, Brooks, AB",(403) 362-3960
Alberta,Calgary Metro,Al Falah Musallah,"2640 52 Street NE, Calgary, AB",
Alberta,Calgary Metro,Musalla Ahlus-Sunnah,"3515 17 Avenue SE, Calgary, AB",(403) 714-0033
Alberta,Calgary Metro,Al-Salam Centre,"6415 Ranchview Drive NW, Calgary, AB",(403) 451-8861
Alberta,Calgary Metro,Al Madinah Calgary Islamic Assembly,"4616 80th Avenue NE, Calgary, AB",(403) 590-8200
Alberta,Edmonton Metro,Al Rashid Masjid,"13070 113th Street, Edmonton, AB",(780) 451-6694
Alberta,Edmonton Metro,Markaz ul Islam Mosque,"7907 36th Avenue, Edmonton, AB",(780) 450-6170
Alberta,Edmonton Metro,Muslim Community of Edmonton,"10721 86 Avenue NW, Edmonton, AB",(780) 432-0208
Alberta,Edmonton Metro,Sahaba Mosque,"9216 105th Avenue, Edmonton, AB",(780) 426-3632
Alberta,Edmonton Metro,Quba Masjid,"10210 118 Avenue NW, Edmonton, AB",(780) 426-6373
Alberta,Edmonton Metro,Masjid Noor,"3032 106 Street NW, Edmonton, AB",(780) 490-6800
Alberta,Edmonton Metro,Al Ikhwan Youth Center,"3442 93 Street NW, Edmonton, AB",(780) 463-3436
Alberta,Edmonton Metro,Rahma Masjid,"6102 172 Street NW, Edmonton, AB",(780) 443-3200
Alberta,Edmonton Metro,Khatam Al Anbiya Islamic Centre,"8313 Argyll Road NW, Edmonton, AB",(780) 757-2877
Alberta,Edmonton Metro,Al Rashid Mosque Museum,"7000 143rd Street, Edmonton, AB",(780) 807-1116
Alberta,Edmonton Metro,Salahuddeen Mosque,"195 Douglas Avenue, Red Deer, AB",(403) 342-5383
Alberta,Edmonton Metro,Wetaskiwin & Leduc Mosque,"5402 47Ath Avenue, Wetaskiwin, AB",(780) 352-4578
Alberta,Edmonton Metro,Al-Ameen Islamic Center,"5410 122nd Avenue, Edmonton, AB",(780) 471-5585
Alberta,Edmonton Metro,Majilis-E-Durood-O-Salam,"34th Avenue NW & 93rd Street NW, Edmonton, AB",(780) 660-0780
Alberta,Edmonton Metro,Michener Park Prayer Room,"1 Michener Park NW, Edmonton, AB",
Alberta,Edmonton Metro,Madina Masjid,"12842 52 Street NW, Edmonton, AB",(780) 498-2999
Alberta,Edmonton Metro,Dar al Sunnah ,"9228 144 Avenue NW, Edmonton, AB",(780) 761-3326
Alberta,Edmonton Metro,Fort Saskatchewan Musallah,"9225 84 Street, Fort Saskatchewan, AB",(905) 921-3269
Alberta,Edmonton Metro,Markazul Iman,"11748 95 Street NW, Edmonton, AB",(780) 200-5034
Alberta,Edmonton Metro,Edmonton Islamic Centre,"6502 137 Avenue NW, Edmonton, AB",
Alberta,Edmonton Metro,Islamic Society of Edson ,"4831 4 Avenue, Edson, AB",(780) 504-7257
Alberta,Edmonton Metro,Masjid At-Taqwa,"10654 101 Street NW, Edmonton, AB",(780) 705-7525
Alberta,Edmonton Metro,Al-Falah Masjid,"4416 36th Avenue NW, Edmonton, AB",(780) 952-0786
Alberta,Edmonton Metro,MAC Islamic Centre,"6104 172 Street NW, Edmonton, AB",(780) 443-3200
Alberta,Edmonton Metro,Al-Falah Center,"2401 47th Street NW, Edmonton, AB",(780) 988-2239
Alberta,Northern Alberta,Al Kareem Mosque,"10223 94th Avenue, Lac Labiche, AB",(780) 623-4578
Alberta,Northern Alberta,Slave Lake Muslim Society,"700 6th Street SE, Slave Lake, AB",(780) 849-9665
Alberta,Northern Alberta,Markaz Ul Islam,"9904 Gordon Avenue, Fort McMurray, AB",(780) 791-1602
Alberta,Northern Alberta,Islamic Association of Grande Prairie ,"10117 101 Avenue, Grande Prairie, AB",
Alberta,Northern Alberta,Northern Lights Islamic Centre,"5003 50 Avenue, Cold Lake, AB",(780) 639-2212
Alberta,Northern Alberta,Peace Country Islamic Centre,"9714 90th Avenue, Peace River, AB",(780) 219-4398
British Columbia,Eastern Suburbs,Masjid al-Hidayah,"2626 Kingsway Avenue, Port Coquitlam, BC",(604) 945-1885
British Columbia,Eastern Suburbs,Masjid al-Salaam,"5060 Canada Way, Burnaby, BC",(604) 524-4499
British Columbia,Eastern Suburbs,Metrotown Area Musalla,"6125 Sussex Avenue, Burnaby, BC",(604) 715-4096
British Columbia,Eastern Suburbs,New Westminster Islamic Society,"1206 Kingston Street, New Westminster, BC",(604) 789-0909
British Columbia,North Vancouver,Masjid Ar-Rahman Foundation,"1390 West 15 Street, North Vancouver, BC",(604) 929-0800
British Columbia,Southern Suburbs,Al-Iman Islamic Centre,"13478 78th Avenue, Surrey, BC",(604) 593-5123
British Columbia,Southern Suburbs,White Rock Muslim Association,"15531 24th Avenue, Surrey, BC",(604) 537-9407
British Columbia,Southern Suburbs,Surrey Jamea Masjid,"12407 72th Avenue, Surrey, BC",(604) 591-7601
British Columbia,Southern Suburbs,Fleetwood Islamic Centre,"8468 162th Street, Surrey, BC",(604) 640-2888
British Columbia,Southern Suburbs,Masjid al-Huda,"14136 Grosvenor Road, Surrey, BC",(604) 585-4832
British Columbia,Southern Suburbs,Abbotsford Mussalah,"3404 Townline Road, Abbotsford, BC",
British Columbia,Southern Suburbs,Chilliwack Islamic Centre,"45845 Yale Road West, Chilliwack, BC",(604) 701-2014
British Columbia,Southern Suburbs,Abbotsford Islamic Centre,"1980 Salton Road, Abbotsford, BC",(604) 302-0105
British Columbia,Southern Suburbs,Musallah Abu Bakr,"7825 Edmonds Street, Burnaby, BC",(604) 715-7421
British Columbia,Southern Suburbs,Guildford Islamic Cultural Center,"15290 103A Avenue, Surrey, BC",(604) 670-6732
British Columbia,Southern Suburbs,Abu Bakr Islamic Centre,"7375 144 Street, Surrey, BC",(778) 564-3717
British Columbia,Southern Suburbs,Amir Hamza Musallah,"9250 Scott Road, Surrey, BC",(604) 715-4096
British Columbia,Southern Suburbs,Kennedy Hall,"8870 120 Street, Surrey, BC",
British Columbia,Southern Suburbs,Richmond Jami'a Mosque,"12300 Blundell Road, Richmond, BC",(604) 270-2522
British Columbia,Southern Suburbs,Al-Noor Mosque,"13526 98A Avenue, Surrey, BC",(604) 584-1881
British Columbia,Southern Suburbs,Al Rahmah Masjid,"13585 62 Avenue, Surrey, BC",(604) 591-7601
British Columbia,Vancouver City Centre,Masjid Omar al-Farooq,"1659 East 10th Avenue, Vancouver, BC",(604) 873-8580
British Columbia,Vancouver City Centre,Masjid al-Haqq,"4162 Welwyn Street, Vancouver, BC",(604) 434-7526
British Columbia,Vancouver City Centre,Jamia Masjid Vancouver,"655 West 8th Avenue, Vancouver, BC",(604) 572-8961
British Columbia,Vancouver City Centre,Fraser Street Mussalla,"6436 Fraser Street, Vancouver, BC",
British Columbia,Vancouver City Centre,Vancouver Public Library Jumma,"350 West Georgia Street, Vancouver, BC",(604) 331-3603
British Columbia,Vancouver City Centre,Ajyal Centre & Mosque,"181 Keefer Street, Vancouver, BC",(604) 653-9480
British Columbia,Vancouver City Centre,Mercy Mission Salaat al-Jumuah,"4015 Fraser Street, Vancouver, BC",(604) 839-2165
British Columbia,Vancouver City Centre,MAC Centre,"2122 Kingsway, Vancouver, BC",(604) 434-7526
British Columbia,The Islands,Masjid Al-Iman,"2218 Quadra Street, Victoria, BC",(250) 995-1422
British Columbia,The Islands,Nanaimo Islamic Centre,"905 Hecate Street, Nanaimo, BC",(250) 754-3471
British Columbia,Thompson Okanagan,Masjid As-Salaam,"1120 Highway 33W, Kelowna, BC",(250) 979-1370
British Columbia,Thompson Okanagan,Ayesha Mosque,"2805 Hwy 5A, Kamloops, BC",(250) 377-7477
British Columbia,Thompson Okanagan,Vernon Mosque & Islamic Centre,"3414 17 Avenue, Vernon, BC",(250) 549-7442
British Columbia,Thompson Okanagan,British Columbia Muslim Association,"261-265 Foothills Blvd, Prince George, BC",(250) 277-1791
British Columbia,Thompson Okanagan,Peace River Muslim Association,"9715 102 Street, Fort Saint John, BC",(250) 262-1929
Manitoba,Winnipeg,Manitoba Islamic Center,"247 Hazelwood Avenue, Winnipeg, MB",(204) 256-1347
Manitoba,Winnipeg,Islamic Centre of Brandon,"123 Rosser Avenue East, Brandon, MB",(204) 728-5314
Manitoba,Winnipeg,TMA Jummah,"365 Thompson Drive North, Thompson, MB",(204) 778-8553
Manitoba,Winnipeg,University of Manitoba MSA,"125 Education Building, University of Manitoba, Winnipeg, MB",
Manitoba,Winnipeg,Health Science Centre,"820 Sherbrook Street, Winnipeg, MB",
Manitoba,Winnipeg,University of Winnipeg MSA,"515 Portage Avenue, Winnipeg, MB",
Manitoba,Winnipeg,Pakistani Association,"348 Ross Avenue, Winnipeg, MB",(204) 943-6928
Manitoba,Winnipeg,Islamic Education Foundation,"731 Wellington Avenue, Winnipeg, MB",
Manitoba,Winnipeg,Winnipeg Central Mosque,"715 Ellice Avenue, Winnipeg, MB",(204) 783-6797
Manitoba,Winnipeg,Waverley Masjid,"2445 Waverley Street, Winnipeg, MB",
Manitoba,Winnipeg,Zubaidah Tallab Masjid,"335 Thompson Drive North, Thompson, MB",(204) 778-6721
Manitoba,Winnipeg,Winnipeg Islamic Center,"431 Thames Avenue, Winnipeg, MB",(204) 979-3400
Manitoba,Winnipeg,Manitoba Dawah Center,"368 Edmonton Street, Winnipeg, MB",(204) 415-0351
Manitoba,Winnipeg,Salam Masjid,"294 Burrows Avenue, Winnipeg, MB",
New Brunswick,Coastal,Bathurst Mosque,"1794 Sunset Drive, Bathurst, NB",(506) 548-8764
New Brunswick,Coastal,Bathurst Sycamore Mosque,"1010 Sycamore Avenue, Bathurst, NB",(506) 548-8764
New Brunswick,Frederickton,Fredericton Islamic Association,"130 Lincoln Road, Fredericton, NB",(506) 462-9006
New Brunswick,Frederickton,Musalla Uptown Saint John,"215 Charlotte Street, St John, NB",(506) 721-3998
New Brunswick,Frederickton,Université de Moncton Musallah,"18 Antonine-Maillet Avenue, Moncton, NB",
New Brunswick,Frederickton,Miramichi Islamic Centre,"514 Water Street, Miramichi, NB",
New Brunswick,Frederickton,Abu Huraira Mosque,"370 Somerset Street, Saint John, NB",(506) 609-0089
New Brunswick,Moncton,Moncton Muslim Association,"99 High Street, Moncton, NB",(506) 386-1179
New Brunswick,St. Johns,Muslim Association of New Brunswick,"1100 Rothesay Road, Saint John, NB",(506) 633-1675
New Brunswick,St. Johns,Muslim Students Association of UNBSJ,"100 Tucker Park Road Annex B, St. John, NB",
New Brunswick,St. Johns,Musalla Uptown Saint John,"213 Charlotte Street, Saint John, NB",(506) 721-6934
New Brunswick,Western,Muslim Community Center of Edmundston,"106 Rue de l'Église, Edmundston, NB",
Newfoundland,St. Johns,Al Noor Masjid,"430 Logy Bay Road, St. Johns, NL",(709) 754-7526
Northwest Territories,Yellowknife,Islamic Centre of Yellowknife,"4100 Franklin Avenue, Yellowknife, NW",(867) 766-3124
Northwest Territories,Yellowknife,Midnight Sun Mosque,"29 Wolverine, Box 2171, Inuvik, NT",(867) 678-0733
Nova Scotia,Cape Breton Island,Cape Breton Muslim Society,"70 James Street, Sydney, NS",(902) 577-0044
Nova Scotia,Cape Breton Island,Antigonish Muslim Association ,"St. Francis Xavier University, Antigonish, NS",
Nova Scotia,Halifax,Nova Scotia Islamic Community Center,"777 Kearney Lake Road, Bedford, NS",(902) 832-6300
Nova Scotia,Halifax,IANS Dartmouth Masjid,"42 Leaman Drive, Dartmouth, NS",(902) 469-9490
Nova Scotia,Halifax,Ummah Masjid & Community Center,"6225 Chebucto Road, Halifax, NS",(902) 429-9067
Nova Scotia,Halifax,IANS Truro Masjid,"533 Pictou Road, Truro, NS",(902) 469-9490
Nova Scotia,Halifax,United Muslims of Halifax,"19 Alma Crescent, Halifax, NS",(902) 401-3577
Nova Scotia,Halifax,Nova Scotia Islamic Community Centre,"2141 Larry Uteck Blvd., Halifax, NS",(902) 832-6300
Nova Scotia,Halifax,Center of Islamic Development,"2728 Robie Street, Halifax, NS",(902) 455-1887
Ontario,Downtown,Parkdale Islamic Community Centre,"1285 Queen Street West, Toronto, ON",(416) 534-3669
Ontario,Downtown,Jami Mosque,"56 Boustead Avenue, Toronto, ON",(416) 769-1192
Ontario,Downtown,Masjid El Noor,"277 Scott Road, Toronto, ON",(416) 658-6667
Ontario,Downtown,Ummah Nabawiah Mosque,"2074 Kipling Avenue, Etobicoke, ON",(416) 748-8033
Ontario,Downtown,Masjid Ar-Rowda,"40 South Station Street, Toronto, ON",(416) 242-9996
Ontario,Downtown,Toronto Islamic Centre,"817 Yonge Street, Toronto, ON",(647) 808-5007
Ontario,Downtown,Masjid Toronto @ Adelaide,"84 Adelaide Street East, Toronto, ON",(416) 596-0507
Ontario,Downtown,Imdadul Islamic Centre,"26 Lepage Court, Toronto, ON",(416) 636-0044
Ontario,Downtown,Bosnian Islamic Association,"122 North Queen Street, Etobicoke, ON",
Ontario,Downtown,Abu Huraira Centre,"270 Yorkland Blvd., North York, ON",(416) 752-1200
Ontario,Downtown,Masjid Toronto,"168 Dundas Street West, Toronto, ON",(416) 596-0507
Ontario,Downtown,Turkish Islamic Centre,"336 Pape Avenue, Old Toronto, ON",
Ontario,Downtown,Albanian Muslim Society,"564 Annette Street, Toronto, ON",(416) 763-0612
Ontario,Downtown,Islamic Information and Dawah Centre,"1168 Bloor Street West, Toronto, ON",(416) 536-8433
Ontario,Downtown,Fatih Mosque,"182 Rhodes Avenue, Toronto, ON",(416) 462-1401
Ontario,Downtown,Taric Islamic Centre,"99 Beverley Hills Drive, Toronto, ON",(416) 245-5675
Ontario,Downtown,Bosnian Islamic Centre,"75 Birmingham Street, Etobicoke, ON",(416) 255-8338
Ontario,Downtown,Talim ul Islam Community Centre,"86 Rivalda Road, North York, ON",(416) 745-5606
Ontario,Downtown,Khalid bin Walid Mosque,"16 Bethridge Road, Etobicoke, ON",
Ontario,Downtown,Al Ansar Islamic Center,"43 Railside Road, Don Mills, ON",(416) 850-4998
Ontario,Downtown,Sudanese Islamic Centre,"1750 Victoria Park Avenue, Toronto, ON",(416) 288-0742
Ontario,Downtown,Nigerian Canadian Muslim Association,"190 Milvan Drive, Toronto, ON",(416) 747-0842
Ontario,Downtown,Paradise Forever Islamic Centre,"2045 Dufferin Street, Toronto, ON",(416) 607-6769
Ontario,Downtown,Danforth Islamic Centre,"3018A Danforth Avenue, Toronto, ON",(416) 916-2853
Ontario,Downtown,Darul Arqum Mosque,"595 Trethewey Drive, North York, ON",
Ontario,Downtown,Ethiopian Canadian Muslim Community Ass'n,"171 McCormack Street, Toronto, ON",(416) 658-0081
Ontario,Downtown,Jamaat Al Muminoon Islamic Centre,"246 Brockport Drive, Etobicoke, ON",(416) 783-5947
Ontario,Downtown,Dar AlHikma Centre,"36 Colville Road, Toronto, ON",
Ontario,Downtown,Masjidur Rahmah,"328 Parliament Street, Toronto, ON",(416) 854-7043
Ontario,Downtown,Dar-ul-Hijra Islamic Centre,"2050 Kipling Avenue, Etobicoke, ON",(416) 747-9991
Ontario,Downtown,Daru Al-Ullum,"842 Wilson Avenue, Toronto, ON",(647) 947-0997
Ontario,Downtown,Masjid Dar Us Salaam,"4 Thorncliffe Park Drive, Toronto, ON",(416) 467-0786
Ontario,Downtown,Masjidul-Furqaan & Islaamic Centre,"874 Weston Road, Toronto, ON",(416) 243-5320
Ontario,Downtown,Rexdale Jame Masjid,"127 Westmore Drive, Etobicoke, ON",(416) 744-3474
Ontario,Downtown,Masjid Al Sabur,"4081 Dufferin Street, Toronto, ON",(416) 636-6677
Ontario,Downtown,Madina Masjid,"1015 Danforth Avenue, Old Toronto, ON",(416) 465-7833
Ontario,Downtown,Masjid al Taqwa,"14 Ladysmith Avenue, Toronto, ON",(416) 406-6282
Ontario,Downtown,Masjid Omar Bin Al Khattab,"240 Parliament Street, Toronto, ON",(416) 861-9288
Ontario,Downtown,Darul Khair Islamic Centre,"35 St. Dennis Drive, North York, ON",(416) 423-7554
Ontario,Downtown,North York Muslim Association,"5120 Yonge Street, Toronto, ON",
Ontario,Downtown,Downtown Mosque,"100 Bond Street, Toronto, ON",(416) 596-6584
Ontario,Downtown,International Muslims Organization of Toronto,"65 Rexdale Blvd., Etobicoke, ON",(647) 533-8341
Ontario,Downtown,Bin Abbas Masjid,"1822 Weston Road, Toronto, ON",(416) 243-0105
Ontario,Downtown,Faizan-e-Madina,"595 Albion Road, Toronto, ON",(416) 278-1264
Ontario,Durham,Islamic Centre of Oshawa,"23 Lloyd Street, Oshawa, ON",
Ontario,Durham,Muslim Association of Whitby,"221 Kendalwood Road, Whitby, ON",(905) 404-9880
Ontario,Durham,Masjid Al Salaam,"784 Parkhill Road West, Peterborough, ON",
Ontario,Durham,Masjid Al Aqsaa,"43 Station Street, Ajax, ON",(905) 686-4003
Ontario,Durham,Al Rayan Islamic Center,"1660 King Street East, Courtice, ON",(905) 433-9255
Ontario,Durham,Pickering Islamic Centre,"2065 Brock Road North, Pickering, ON",(905) 426-7887
Ontario,Durham,Masjid Quba Ajax,"1501 Harwood Avenue North, Ajax, ON",
Ontario,Durham,Lindsay Islamic Centre,"280 Kent Street West, Lindsay, ON",
Ontario,Durham,Masjid Al Ummah,"1423 Thornton Road North, Oshawa, ON",(905) 903-0677
Ontario,Durham,Cobourg Muslim Community,"7 King Street West, Cobourg, ON",
Ontario,Durham,Port Perry Mosque,"1625 Scugog Street, Scugog, ON",(905) 985-0009
Ontario,Durham,Masjid Alhakeem,"139 King Street East, Bowmanville, ON",(647) 893-9170
Ontario,Durham,Sayyidah Zainab Muslim Community Centre,"40 Station Street, Ajax, ON",(647) 404-3050
Ontario,Durham,Jamiah ul-Uloom al-Islamiyah,"2944 Audley Road, Durham, ON",(905) 686-4003
Ontario,Halton,Halton Islamic Association Mosque,"4310 Fairview Street, Burlington, ON",(905) 333-9856
Ontario,Halton,Islamic Community Center of Milton,"8069 Esquesing Line, Milton, ON",(647) 547-2292
Ontario,Halton,Muslim Association of Milton,"511 South Ontario Street , Milton, ON",(416) 399-4072
Ontario,Halton,Muslim Association of Milton,"4269 Regional Road 25, Milton, ON",
Ontario,Halton,Masjid Al-Ihsan & Dar Foundation,"485 Morden Road, Oakville, ON",(289) 813-1025
Ontario,Halton,Masjid Noor-ul-Haram,"2478 9th Line, Oakville, ON",(905) 257-1342
Ontario,Halton,Al Falah Islamic Centre,"391 Burnhamthorpe Road East, Oakville, ON",(905) 257-4262
Ontario,Peel,Anatolia Islamic Centre,"5280 Maingate Drive, Mississauga, ON",(905) 629-0477
Ontario,Peel,Masjid Al-Farooq,"935 Eglinton Avenue West, Mississauga, ON",(905) 858-7586
Ontario,Peel,Malton Islamic Centre,"6836 Professional Court, Mississauga, ON",(905) 671-2911
Ontario,Peel,Jamia Al Mustafa,"2505 Dixie Road, Mississauga, ON",(905) 270-4900
Ontario,Peel,Al Huda Institute,"5671 McAdam Road, Mississauga, ON",(647) 449-6679
Ontario,Peel,Brampton Islamic Centre,"6 Lowry Drive, Brampton, ON",(905) 459-9444
Ontario,Peel,Sayeda Khadija Centre,"7150 Edwards Blvd., Mississauga, ON",(905) 564-5509
Ontario,Peel,Jamia RIyadhul Jannah,"6680 Campobello Road, Mississauga, ON",(905) 567-1784
Ontario,Peel,Masjid-E-Aqsa,"30 Rambler Drive, Brampton, ON",(647) 719-1112
Ontario,Peel,Dixie-Bloor Islamic Centre,"1355 Williamsport Drive, Mississauga, ON",
Ontario,Peel,Aziz Mahmud Hüdayi Vakfı,"951 Wilson Avenue, Toronto, ON",
Ontario,Peel,Huttonville Masjid,"2051 Embleton Road, Brampton, ON",(647) 887-4481
Ontario,Peel,Jame Masjid Mississauga,"5761 Coopers Avenue, Mississauga, ON",(905) 507-3323
Ontario,Peel,Masjid E Saliheen,"7097 Airport Road, Mississauga, ON",(905) 671-2798
Ontario,Peel,Dar al Tawheed Islamic Centre,"5550 McAdam Road, Mississauga, ON",(905) 712-8171
Ontario,Peel,Jamiat ul Ansar of Brampton,"391 Great Lakes Drive, Brampton, ON",(905) 796-7977
Ontario,Peel,Ar-Rashaad Learning Centre,"18 Automatic Road, Brampton, ON",(647) 608-7460
Ontario,Peel,Brampton Makki Masjid,"8450 Torbram Road, Brampton, ON",(905) 458-8778
Ontario,Peel,Islamic Forum of Canada,"200 Advance Blvd., Brampton, ON",(905) 790-8859
Ontario,Peel,Al Rahmah Masjid,"205 North Service Road, Mississauga, ON",(905) 275-1786
Ontario,Peel,Masjid Al-Mustafa,"2505 Dixie Road, Mississauga, ON",(905) 270-4900
Ontario,Peel,Meadowvale Islamic Centre,"6508 Winston Churchill Blvd., Mississauga, ON",(905) 824-2604
Ontario,Peel,Shalimar Complex Mosque,"3024 Cedarglen Gate, Mississauga, ON",(905) 897-8605
Ontario,Peel,Qasimul Ukoom Centre Canada,"6120 Montevideo Road, Mississauga, ON",(905) 997-7922
Ontario,Peel,Faizan-e-Madina,"1060 Britannia Road East, Mississauga, ON",(416) 648-2261
Ontario,Peel,Al-Eman Islamic Centre of Canada,"265 Enfield Place, Mississauga, ON",(647) 400-6769
Ontario,Peel,Al Fajr Islamic Learning & Cultural Centre,"188 Main Street South, Brampton, ON",(416) 786-7717
Ontario,Peel,Noon Academy Masjid,"12 Rutherford Road South, Brampton, ON",
Ontario,Peel,Qasim Ul-Uloom Islamic Centre,"24 Queen Street North, Mississauga, ON",(905) 997-7922
Ontario,Peel,The Straight Path Islamic Center,"105 Kennedy Road South, Brampton, ON",(416) 786-4947
Ontario,Peel,Islamic Center of Waterloo,"510 Erb Street West, Waterloo, ON",(519) 886-8470
Ontario,Peel,Wolfedale Road Masjid,"3450 Wolfedale Road, Mississauga, ON",(647) 400-6769
Ontario,Peel,Masjid Alsalam,"160 Salvation Road, Brampton, ON",(647) 376-5242
Ontario,Peel,Daru-Al-Ullum Education Centre,"16 Orfus Road, Toronto, ON",(647) 269-4020
Ontario,Peel,Ontario Muslim Academy Masjid,"146 Ballantyne Avenue, Cambridge, ON",(519) 618-9357
Ontario,Peel,Ovation Mosque,"3888 Duke of York Blvd., Mississauga, ON",
Ontario,Peel,North Valley Islamic Centre,"423 Wanless Drive, Brampton, ON",(647) 573-6655
